ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
725,maori,1705,waru,w a r u,,Biggs-85-2005,waru
1169,tahitian,1705,va'u,v a ʔ u,,Clark-173-2005,va'u
1595,rapanui,1705,va'u,v a ʔ u,,POLLEX,va'u
1853,mangareva,1705,varu,v a r u,,POLLEX,varu
3076,sikaiana,1705,valu,v a l u,,POLLEX,valu
3297,northmarquesan,1705,va'u,v a ʔ u,,POLLEX,va'u
4395,raivavae,1705,vaGu,v a ɢ u,,Tamaititahio-1213-2015,vaGu
4592,tuamotuan,1705,varu,v a r u,,POLLEX,varu
5101,rurutuan,1705,vaʔu,v a ʔ u,,Meyer-128-2005,vaʔu
5614,hawaiian,1705,walu,w a l u,,71458,walu
720,maori,1717,rima tekau,r i m a t e k a u,,Biggs-85-2005,rima tekau
1849,mangareva,1717,rima rongo'uru,r i m a r o ŋ o ʔ u r u,,POLLEX,rima rongo'uru
4391,raivavae,1717,pae ʔahuGu,p a e ʔ a h u ɢ u,,Tamaititahio-1213-2015,pae ʔahuGu
5097,rurutuan,1717,pae ʔaʔuru,p a e ʔ a ʔ u r u,,Meyer-128-2005,pae ʔaʔuru
5609,hawaiian,1717,kanalima,k a n a l i m a,,71458,kanalima
728,maori,493,rima,r i m a,,Biggs-85-2005,rima
1172,tahitian,493,pae,p a e,,Clark-173-2005,pae
1173,tahitian,493,rima,r i m a,,Clark-173-2005,rima
1598,rapanui,493,rima,r i m a,,POLLEX,rima
1856,mangareva,493,rima,r i m a,,POLLEX,rima
3079,sikaiana,493,lima,l i m a,,POLLEX,lima
3300,northmarquesan,493,'ima,ʔ i m a,,POLLEX,'ima
4398,raivavae,493,pae,p a e,,Tamaititahio-1213-2015,pae
4595,tuamotuan,493,rima,r i m a,,POLLEX,rima
5104,rurutuan,493,pae,p a e,,Meyer-128-2005,pae
5617,hawaiian,493,lima,l i m a,,71458,lima
729,maori,1500,faː,f aː,,Biggs-85-2005,whaa
1174,tahitian,1500,maha,m a h a,,Clark-173-2005,maha
1599,rapanui,1500,ha,h a,,POLLEX,ha
1857,mangareva,1500,'a,ʔ a,,POLLEX,'a
3080,sikaiana,1500,hā,h aː,,POLLEX,hā
3301,northmarquesan,1500,faa,f aː,,POLLEX,faa
4399,raivavae,1500,maha,m a h a,,Tamaititahio-1213-2015,maha
4596,tuamotuan,1500,haa,h aː,,POLLEX,haa
5105,rurutuan,1500,ʔa,ʔ a,,Meyer-128-2005,ʔa
5618,hawaiian,1500,hā,h aː,,71458,hā
753,maori,1209,au,a u,,Biggs-85-2005,au
1198,tahitian,1209,vau,v a u,,Clark-173-2005,vau
1199,tahitian,1209,au,a u,,Clark-173-2005,au
1622,rapanui,1209,au,a u,,POLLEX,au
1877,mangareva,1209,au,a u,,POLLEX,au
3103,sikaiana,1209,au,a u,,POLLEX,n/au/
3324,northmarquesan,1209,='u,ʔ u,,POLLEX,='u
3325,northmarquesan,1209,au,a u,,POLLEX,au
4421,raivavae,1209,vau,v a u,,Tamaititahio-1213-2015,vau
4609,tuamotuan,1209,-ku,k u,,POLLEX,-ku
4610,tuamotuan,1209,au,a u,,POLLEX,au
5131,rurutuan,1209,au,a u,,Meyer-128-2005,au
5132,rurutuan,1209,vau,v a u,,Meyer-128-2005,vau
5641,hawaiian,1209,au,a u,,71458,['o] au
724,maori,1483,iwa,i w a,,Biggs-85-2005,iwa
1168,tahitian,1483,iva,i v a,,Clark-173-2005,iva
1594,rapanui,1483,iva,i v a,,POLLEX,iva
1852,mangareva,1483,iva,i v a,,POLLEX,iva
3075,sikaiana,1483,sivo,s i v o,,POLLEX,sivo
3296,northmarquesan,1483,iva,i v a,,POLLEX,iva
4394,raivavae,1483,iva,i v a,,Tamaititahio-1213-2015,iva
4591,tuamotuan,1483,iva,i v a,,POLLEX,iva
5100,rurutuan,1483,iva,i v a,,Meyer-128-2005,iva
5613,hawaiian,1483,iwa,i w a,,71458,iwa
732,maori,1493,tahi,t a h i,,Biggs-85-2005,tahi
1177,tahitian,1493,ho'e,h o ʔ e,,Clark-173-2005,ho'e
1178,tahitian,1493,tahi,t a h i,,Clark-173-2005,tahi
1602,rapanui,1493,tahi,t a h i,,POLLEX,tahi
1860,mangareva,1493,ta'i,t a ʔ i,,POLLEX,ta'i
3083,sikaiana,1493,tasi,t a s i,,POLLEX,tasi
3304,northmarquesan,1493,tahi,t a h i,,POLLEX,tahi
4402,raivavae,1493,hoʔe,h o ʔ e,,Tamaititahio-1213-2015,hoʔe
4599,tuamotuan,1493,tahi,t a h i,,POLLEX,tahi
